Name,اسم_البن,بن_أخضر,تحميص_فاتح,تحميص_وسط,تحميص_غامق
Indonesian,إندونيسي ,333.0,403.0,433.0,453.0
Ugandan,أوغندي  ,342.0,410.0,440.0,460.0
Vietnamese,فيتنامي  ,343.0,406.0,436.0,456.0
Indian Robusta,هندي روبيستا ,365.0,445.0,475.0,495.0
Ethiopian Lekemti,حبشي لقمتي ,350.0,420.0,450.0,470.0
Brazilian Robusta,برازيلي روبيستا,323.0,384.0,414.0,434.0
Indian Arabica,هندي أربيكا ,545.0,654.0,684.0,704.0
Colombian,كولومبي ,620.0,747.0,777.0,797.0
Guatemala,جواتيمالا,710.0,852.0,882.0,902.0
Ethiopian Harrar,حبشي هراري,490.0,595.0,625.0,645.0
Indian Mysore,هندي ميسور,690.0,830.0,860.0,880.0
Kenya,كينيا ,690.0,830.0,860.0,880.0
Peru,بيرو,670.0,804.0,834.0,854.0
Costa Rican,كوستا ريكي,690.0,830.0,860.0,880.0
